ranking,name,score,link
133,Banana Fish,8.49,https://myanimelist.net/anime/36649/Banana_Fish
134,Jujutsu Kaisen 0 Movie,8.49,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie
135,Rainbow: Nisha Rokubou no Shichinin,8.48,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
136,Yuru Camp△ Movie,8.48,https://myanimelist.net/anime/38475/Yuru_Camp△_Movie
137,Chihayafuru 3,8.47,https://myanimelist.net/anime/37379/Chihayafuru_3
138,Gintama: The Semi-Final,8.47,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final
139,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.47,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari
140,Nichijou,8.46,https://myanimelist.net/anime/10165/Nichijou
141,Fruits Basket: Prelude,8.46,https://myanimelist.net/anime/49310/Fruits_Basket__Prelude
142,Golden Kamuy 3rd Season,8.45,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
143,Yuu☆Yuu☆Hakusho,8.45,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
144,Zoku Owarimonogatari,8.45,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
145,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.45,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
146,Mo Dao Zu Shi,8.45,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi
147,Owarimonogatari,8.45,https://myanimelist.net/anime/31181/Owarimonogatari
148,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.45,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
149,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
150,The First Slam Dunk,8.45,https://myanimelist.net/anime/45649/The_First_Slam_Dunk
151,Mushishi Zoku Shou: Odoro no Michi,8.44,https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi
152,Tian Guan Ci Fu Special,8.44,https://myanimelist.net/anime/44070/Tian_Guan_Ci_Fu_Special
153,Haikyuu!!,8.44,https://myanimelist.net/anime/20583/Haikyuu
154,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
155,Karakai Jouzu no Takagi-san 3,8.44,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
156,Gintama: Yorinuki Gintama-san on Theater 2D,8.43,https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D
157,Grand Blue,8.43,https://myanimelist.net/anime/37105/Grand_Blue
158,Kono Oto Tomare! Part 2,8.43,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2
159,Mo Dao Zu Shi: Xian Yun Pian,8.43,https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian
160,Mononoke,8.43,https://myanimelist.net/anime/2246/Mononoke
161,Saenai Heroine no Sodatekata Fine,8.43,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine
162,Saiki Kusuo no Ψ-nan 2,8.43,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2
163,Koukaku Kidoutai: Stand Alone Complex,8.42,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex
164,Saiki Kusuo no Ψ-nan,8.42,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
165,Josee to Tora to Sakana-tachi,8.42,https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi
166,Vivy: Fluorite Eye's Song,8.42,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song
167,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.41,https://myanimelist.net/anime/39741/Violet_Evergarden_Gaiden__Eien_to_Jidou_Shuki_Ningyou
168,Wu Liuqi: Xuanwu Guo Pian,8.41,https://myanimelist.net/anime/45556/Wu_Liuqi__Xuanwu_Guo_Pian
169,Major S5,8.41,https://myanimelist.net/anime/5028/Major_S5
170,Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.41,https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu
171,Shingeki no Kyojin: Kuinaki Sentaku,8.41,https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku
172,Hunter x Hunter,8.41,https://myanimelist.net/anime/136/Hunter_x_Hunter
173,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
174,Gintama°: Aizome Kaori-hen,8.40,https://myanimelist.net/anime/32366/Gintama°__Aizome_Kaori-hen
175,Houseki no Kuni,8.40,https://myanimelist.net/anime/35557/Houseki_no_Kuni
176,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.40,https://myanimelist.net/anime/5205/Kara_no_Kyoukai_Movie_7__Satsujin_Kousatsu_Go
177,Natsume Yuujinchou Roku Specials,8.40,https://myanimelist.net/anime/36275/Natsume_Yuujinchou_Roku_Specials
178,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.40,https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou
